CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
996640178,02/29/2016,17:15:00,02/29/2016,17:20:00,02/29/2016,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,INSIDE,RESIDENCE-HOUSE,,,1052127,196750,40.706457937,-73.755182221,"(40.706457937, -73.755182221)"
848125323,02/29/2016,17:12:00,,,02/29/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75,FRONT OF,DEPARTMENT STORE,,,1020754,176732,40.651698159,-73.868446756,"(40.651698159, -73.868446756)"
706054248,02/29/2016,17:05:00,,,02/29/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,90,INSIDE,FOOD SUPERMARKET,,,1000619,195868,40.704282255,-73.940963625,"(40.704282255, -73.940963625)"
899492146,02/29/2016,17:05:00,02/29/2016,17:15:00,02/29/2016,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,,,1015966,246114,40.842152555,-73.885374752,"(40.842152555, -73.885374752)"
509322003,02/29/2016,17:05:00,02/29/2016,17:09:00,02/29/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,52,FRONT OF,DOCTOR/DENTIST OFFICE,,,1016943,259424,40.878680911,-73.881778801,"(40.878680911, -73.881778801)"
263239789,02/29/2016,17:00:00,02/29/2016,17:16:00,02/29/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,5,FRONT OF,RESIDENCE - PUBLIC HOUSING,,SMITH,984742,198650,40.711933313,-73.998226754,"(40.711933313, -73.998226754)"
758073615,02/29/2016,17:00:00,,,02/29/2016,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,23,FRONT OF,RESIDENCE - PUBLIC HOUSING,,,1000531,229408,40.796341237,-73.941199816,"(40.796341237, -73.941199816)"
455642846,02/29/2016,17:00:00,,,02/29/2016,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,STREET,,,1001388,245170,40.839601874,-73.938064365,"(40.839601874, -73.938064365)"
854765046,02/29/2016,17:00:00,02/29/2016,17:11:00,02/29/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1009540,246555,40.843383712,-73.908597663,"(40.843383712, -73.908597663)"
338395352,02/29/2016,17:00:00,,,02/29/2016,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,BROOKLYN,73,,TRANSIT - NYC SUBWAY,,,1010287,186518,40.678595507,-73.906130355,"(40.678595507, -73.906130355)"
